Ticker,Tipo
DG.US,ACCION
DIA.US,ETF
DIS.US,ACCION
DIV.US,ETF
DJT.US,ACCION
DKNG.US,ACCION
DLO.US,ACCION
DLR.US,ACCION
DLTR.US,ACCION
DNN.US,ACCION
DOCU.US,ACCION
DOW.US,ACCION
DUOL.US,ACCION
DVN.US,ACCION
EA.US,ACCION
EBAY.US,ACCION
ECH.US,ETF
EDN.US,ACCION
EEM.US,ETF
EGY.US,ACCION
EH.US,ACCION
EL.US,ACCION
ELV.US,ACCION
EMB.US,ETF
EMBJ.US,ACCION
ENB.US,ACCION
ENPH.US,ACCION
EPAM.US,ACCION
EQNR.US,ACCION
ERNA.US,ACCION
ESGU.US,ETF
ET.US,ACCION
ETH.US,ETF
ETHA.US,ETF
ETHE.US,ETF
ETHU.US,ETF_APALANCADO
ETN.US,ACCION
ETOR.US,ACCION
EWG.US,ETF
EWJ.US,ETF
EWU.US,ETF
EWY.US,ETF
EWZ.US,ETF
EWZS.US,ETF
EXK.US,ACCION
EXPE.US,ACCION
F.US,ACCION
FAZ.US,ETF_APALANCADO
FDX.US,ACCION
FFAI.US,ACCION
FIG.US,ACCION
FIGR.US,ACCION
FISV.US,ACCION
FIVE.US,ACCION
FLNC.US,ACCION
FNV.US,ACCION
FPH.US,ACCION
FRPH.US,ACCION
FSLR.US,ACCION
FTNT.US,ACCION
FUBO.US,ACCION
FUTU.US,ACCION
FXE.US,ETF
FXI.US,ETF
FXY.US,ETF
GAIN.US,ACCION
GAMB.US,ACCION
GBIL.US,ETF
GCT.US,ACCION
GDLC.US,ACCION
GDX.US,ETF
GDXJ.US,ETF
GE.US,ACCION
GEHC.US,ACCION
GEV.US,ACCION
GGAL.US,ACCION
GGB.US,ACCION
GILD.US,ACCION
GIS.US,ACCION
GLD.US,ETF
GLL.US,ETF
GLOB.US,ACCION
GLW.US,ACCION
GLXY.US,ACCION
GM.US,ACCION
GME.US,ACCION
GOOD.US,ACCION
GOOG.US,ACCION
GOOGL.US,ACCION
GPN.US,ACCION
GPRK.US,ACCION
GPRO.US,ACCION
GPUS.US,ACCION
GRAB.US,ACCION
GRBK.US,ACCION
GS.US,ACCION
GSAT.US,ACCION
GSBD.US,ACCION
GSG.US,ETF
GT.US,ACCION
HAL.US,ACCION
HD.US,ACCION
HDB.US,ACCION
HDV.US,ETF
HGV.US,ACCION
HHH.US,ACCION
HIMS.US,ACCION
HMC.US,ACCION
HMY.US,ACCION
HODL.US,ACCION
HOG.US,ACCION
HON.US,ACCION
HOOD.US,ACCION
HPE.US,ACCION
HPK.US,ACCION
HPQ.US,ACCION
HRL.US,ACCION
HSY.US,ACCION
HTGC.US,ACCION
HTZ.US,ACCION
HUM.US,ACCION
HUT.US,ACCION
HUYA.US,ACCION
HYG.US,ETF
IAU.US,ETF
IBB.US,ETF
IBIT.US,ETF
IBM.US,ACCION
IBTA.US,ACCION
ICLN.US,ETF
IEF.US,ETF
IEI.US,ETF
IEUR.US,ETF
IGIC.US,ACCION
IGSB.US,ETF
IGV.US,ETF
IIPR.US,ACCION
IJH.US,ETF
IJJ.US,ETF
IJR.US,ETF
IJS.US,ETF
IJT.US,ETF
ILF.US,ETF
ILMN.US,ACCION
IMO.US,ACCION
INDA.US,ETF
INDI.US,ACCION
INDY.US,ETF
INFY.US,ACCION
INTC.US,ACCION
IONQ.US,ACCION
IQ.US,ACCION
IREN.US,ACCION
IRM.US,ACCION
IRS.US,ACCION
ISRG.US,ACCION
ITA.US,ETF
IVE.US,ETF
IVV.US,ETF
IVW.US,ETF
IWF.US,ETF
IWM.US,ETF
IWV.US,ETF
IXN.US,ETF
IXUS.US,ETF
IYR.US,ETF
IYW.US,ETF
JD.US,ACCION
JEPI.US,ETF
JEPQ.US,ETF
JETS.US,ETF
JKS.US,ACCION
JMIA.US,ACCION
JNJ.US,ACCION
JOBY.US,ACCION
JOE.US,ACCION
JOYY.US,ACCION
JPM.US,ACCION
KBWD.US,ETF
KD.US,ACCION
KGC.US,ACCION
KHC.US,ACCION
KMI.US,ACCION
KO.US,ACCION
KOS.US,ACCION
KSPI.US,ACCION
KSS.US,ACCION
KVUE.US,ACCION
LAC.US,ACCION
LAES.US,ACCION
LAR.US,ACCION
LCID.US,ACCION
LI.US,ACCION
LIT.US,ETF
LLY.US,ACCION
LMND.US,ACCION
LMT.US,ACCION
LND.US,ACCION
LOMA.US,ACCION
LQD.US,ETF
LRCX.US,ACCION
LTM.US,ACCION
LTPZ.US,ACCION
LULU.US,ACCION
LUMN.US,ACCION
LUNR.US,ACCION
MA.US,ACCION
MAC.US,ACCION
MAGS.US,ETF
MAIN.US,ACCION
MARA.US,ACCION
MCD.US,ACCION
MCHI.US,ETF
MCHP.US,ACCION
MCO.US,ACCION
MDLZ.US,ACCION
MELI.US,ACCION
META.US,ACCION
MGK.US,ETF
MJ.US,ETF
MLEC.US,ACCION
MMM.US,ACCION
MO.US,ACCION
MOS.US,ACCION
MP.US,ACCION
MRK.US,ACCION
MRNA.US,ACCION
MRSH.US,ACCION
MRVL.US,ACCION
MSCI.US,ACCION
MSFT.US,ACCION
MSI.US,ACCION
MSTR.US,ACCION
MSTU.US,ETF_APALANCADO
MSTX.US,ETF_APALANCADO
MSTY.US,ETF_APALANCADO
MT.US,ACCION
MU.US,ACCION
MUFG.US,ACCION
MUX.US,ACCION
NBIS.US,ACCION
NCLH.US,ACCION
NEE.US,ACCION
NEM.US,ACCION
NEON.US,ACCION
NET.US,ACCION
NFLX.US,ACCION
NGG.US,ACCION
NIO.US,ACCION
NIU.US,ACCION
NKE.US,ACCION
NLY.US,ACCION
NNE.US,ACCION
NNOX.US,ACCION
NOBL.US,ETF
NOV.US,ACCION
NOW.US,ACCION
NTR.US,ACCION
NU.US,ACCION
NUE.US,ACCION
NVAX.US,ACCION
NVD.US,ETF_INVERSO
NVDA.US,ACCION
NVDL.US,ETF_APALANCADO
NVO.US,ACCION
NVS.US,ACCION
NVTS.US,ACCION
NXE.US,ACCION
NXPI.US,ACCION
O.US,ACCION
OCGN.US,ACCION
ODD.US,ACCION
OKLO.US,ACCION
ON.US,ACCION
ONON.US,ACCION
OPEN.US,ACCION
OPFI.US,ACCION
ORCL.US,ACCION
OSCR.US,ACCION
OWL.US,ACCION
OXY.US,ACCION
PAAS.US,ACCION
PAGS.US,ACCION
PALL.US,ETF
PAM.US,ACCION
PANW.US,ACCION
PATH.US,ACCION
PAYC.US,ACCION
PBI.US,ACCION
PBR.US,ACCION
PBYI.US,ACCION
PCAR.US,ACCION
PDD.US,ACCION
PEP.US,ACCION
PFE.US,ACCION
PG.US,ACCION
PHG.US,ACCION
PHK.US,ACCION
PHO.US,ETF
PHUN.US,ACCION
PINS.US,ACCION
PLG.US,ACCION
PLTR.US,ACCION
PLUG.US,ACCION
PM.US,ACCION
POWL.US,ACCION
PPA.US,ETF
PPLT.US,ETF
PSCE.US,ETF
PSEC.US,ACCION
PSKY.US,ACCION
PSP.US,ETF
PSQ.US,ACCION
PTON.US,ACCION
PVH.US,ACCION
PYPL.US,ACCION
QBTS.US,ACCION
QCLN.US,ETF
QCOM.US,ACCION
QMCO.US,ACCION
QQQ.US,ETF
QQQM.US,ETF
QS.US,ACCION
QSR.US,ACCION
QTUM.US,ETF
QUAL.US,ETF
QUBT.US,ACCION
QYLD.US,ETF
RACE.US,ACCION
RBLX.US,ACCION
RBRK.US,ACCION
RCAT.US,ACCION
RCL.US,ACCION
RDDT.US,ACCION
RDW.US,ACCION
REKR.US,ACCION
REMX.US,ETF
RERE.US,ACCION
RGLD.US,ACCION
RGTI.US,ACCION
RIO.US,ACCION
RIOT.US,ACCION
RIVN.US,ACCION
RKLB.US,ACCION
RKT.US,ACCION
ROST.US,ACCION
RR.US,ACCION
RSP.US,ETF
RTX.US,ACCION
RXRX.US,ACCION
S.US,ACCION
SAP.US,ACCION
SATL.US,ACCION
SAVA.US,ACCION
SBET.US,ACCION
SBUX.US,ACCION
SCHD.US,ETF
SCHW.US,ACCION
SE.US,ACCION
SEG.US,ACCION
SERV.US,ACCION
SGOV.US,ETF
SH.US,ETF
SHEL.US,ACCION
SHOP.US,ACCION
SHV.US,ETF
SHY.US,ETF
SHYG.US,ETF
SID.US,ACCION
SIL.US,ETF
SIRI.US,ACCION
SJNK.US,ETF
SKE.US,ACCION
SKY.US,ACCION
SLB.US,ACCION
SLV.US,ETF
SM.US,ACCION
SMCI.US,ACCION
SMH.US,ETF
SMR.US,ACCION
SNAP.US,ACCION
SNDK.US,ACCION
SNDL.US,ACCION
SNOW.US,ACCION
SOC.US,ACCION
SOFI.US,ACCION
SONY.US,ACCION
SOUN.US,ACCION
SOXL.US,ETF_APALANCADO
SOXX.US,ETF
SOYB.US,ETF
SPCE.US,ACCION
SPG.US,ACCION
SPHD.US,ETF
SPLV.US,ETF
SPOT.US,ACCION
SPXL.US,ETF_APALANCADO
SPXS.US,ETF_APALANCADO
SPY.US,ETF
SPYD.US,ETF
SPYG.US,ETF
SPYM.US,ETF
SQM.US,ACCION
SQQQ.US,ETF_INVERSO
SRET.US,ETF
SSO.US,ACCION
SSRM.US,ACCION
STLA.US,ACCION
STM.US,ACCION
STNE.US,ACCION
STRL.US,ACCION
STX.US,ACCION
STZ.US,ACCION
SUPV.US,ACCION
SYM.US,ACCION
SYY.US,ACCION
SYZ.US,ACCION
T.US,ACCION
TAC.US,ACCION
TAP.US,ACCION
TBCH.US,ACCION
TCOM.US,ACCION
TCPC.US,ACCION
TDOC.US,ACCION
TEAM.US,ACCION
TECK.US,ACCION
TEM.US,ACCION
TEO.US,ACCION
TER.US,ACCION
TGS.US,ACCION
TGT.US,ACCION
TIGR.US,ACCION
TJX.US,ACCION
TLH.US,ETF
TLRY.US,ACCION
TLT.US,ETF
TM.US,ACCION
TMDX.US,ACCION
TMF.US,ETF_APALANCADO
TMO.US,ACCION
TMUS.US,ACCION
TORO.US,ACCION
TQQQ.US,ETF_APALANCADO
TRMD.US,ACCION
TS.US,ACCION
TSLA.US,ACCION
TSLL.US,ETF_APALANCADO
TSM.US,ACCION
TTD.US,ACCION
TTWO.US,ACCION
TWST.US,ACCION
TX.US,ACCION
TXG.US,ACCION
U.US,ACCION
UA.US,ACCION
UAA.US,ACCION
UAVS.US,ACCION
UBER.US,ACCION
UBT.US,ACCION
UCO.US,ETF
UDOW.US,ACCION
UEC.US,ACCION
UFO.US,ETF
UGL.US,ETF_APALANCADO
UL.US,ACCION
ULTA.US,ACCION
UNG.US,ETF
UNH.US,ACCION
UNP.US,ACCION
UP.US,ACCION
UPS.US,ACCION
UPST.US,ACCION
URA.US,ETF
URE.US,ETF_APALANCADO
USAR.US,ACCION
USMV.US,ETF
USO.US,ETF
UUP.US,ETF
UUUU.US,ACCION
V.US,ACCION
VALE.US,ACCION
VCIT.US,ETF
VEA.US,ETF
VEGI.US,ETF
VFC.US,ACCION
VG.US,ACCION
VGT.US,ETF
VHT.US,ETF
VICI.US,ACCION
VIG.US,ETF
VIRT.US,ACCION
VIST.US,ACCION
VKTX.US,ACCION
VNQ.US,ETF
VOD.US,ACCION
VOO.US,ACCION
VRSN.US,ACCION
VRT.US,ACCION
VRTX.US,ACCION
VSNT.US,ACCION
VST.US,ACCION
VT.US,ETF
VTI.US,ETF
VUG.US,ETF
VUZI.US,ACCION
VWO.US,ETF
VXX.US,ACCION
VYM.US,ETF
VZ.US,ACCION
WB.US,ACCION
WBD.US,ACCION
WDC.US,ACCION
WEAT.US,ACCION
WEN.US,ACCION
WEX.US,ACCION
WFC.US,ACCION
WGS.US,ACCION
WKEY.US,ACCION
WM.US,ACCION
WMT.US,ACCION
WPC.US,ACCION
WPM.US,ACCION
WU.US,ACCION
WULF.US,ACCION
XAR.US,ETF
XBI.US,ETF
XFOR.US,ACCION
XLB.US,ACCION
XLC.US,ACCION
XLE.US,ETF
XLF.US,ETF
XLI.US,ETF
XLK.US,ETF
XLP.US,ACCION
XLRE.US,ACCION
XLU.US,ETF
XLV.US,ETF
XLY.US,ETF
XME.US,ETF
XOM.US,ACCION
XP.US,ACCION
XPEV.US,ACCION
XRT.US,ETF
XRX.US,ACCION
XSHD.US,ETF
XYZ.US,ACCION
YINN.US,ETF_APALANCADO
YPF.US,ACCION
YUMC.US,ACCION
ZETA.US,ACCION
ZIM.US,ACCION
ZM.US,ACCION
ZROZ.US,ETF
ZS.US,ACCION
ZTS.US,ACCION
